"Team"	"Signed"	"Avg.Age"	"Active.Cap"	"Dead.Cap"	"Total.Cap"	"Lux.Tax.Space"	"Cap.Space."	"Practical.Cap.Space.."	"Coach.Tenure"	"OFFRTG"	"DEFRTG"	"Wins"	"TOV"	"NBAYear"	"ID"
"14-2019"	"Los Angeles Lakers"		25.7	90827159	"$14,354,067 "	105333698	"$18,399,302 "	-3464698	-3464698	3	107.3	108.9	36	15	"2019"	"14"
"15-2015"	"Memphis Grizzlies"		27.1	73989079	"$657,723 "	74760326	"$2,068,674*"	-11695326	-11695326	2	104.7	101.2	55	14.2	"2015"	"15"
"15-2016"	"Memphis Grizzlies"		28	76017172	"$6,913,000 "	83382043	"$1,357,957*"	-13382043	-13382043	3	104.7	107	42	14	"2016"	"15"
"15-2017"	"Memphis Grizzlies"		26.9	108352164	"2402355"	110869863	"$2,417,137*"	-16726863	-16726863	1	107	106.5	43	13.7	"2017"	"15"
"15-2018"	"Memphis Grizzlies"		25.5	100033826	"$9,573,432 "	109902725	"$9,363,275*"	-10809725	-10809725	0	103.4	110.2	22	15.6	"2018"	"15"
"15-2019"	"Memphis Grizzlies"		26.1	118240816	"$2,200,952 "	122836315	"$896,685*"	-20967315	-20967315	1	105.1	107.8	32	14.3	"2019"	"15"
"16-2015"	"Miami Heat"		27.5	75084575	"$606,791 "	75966404	"$862,596 "	-12901404	-12901404	7	103.2	106.1	37	16.1	"2015"	"16"
"16-2016"	"Miami Heat"		28.1	82539172	"$2,080,465 "	84619637	"$110,429 "	-14619637	-14619637	8	105.4	103.7	48	14.8	"2016"	"16"
"16-2017"	"Miami Heat"		26.9	96523509	"5200989"	101820405	"$11,440,892 "	-7677405	-7677405	9	107.4	106.4	41	14	"2017"	"16"
"16-2018"	"Miami Heat"		27.1	103753306	"$1,312,611 "	105065917	"$14,200,083 "	-5972917	-5972917	10	106.1	105.7	44	14.7	"2018"	"16"
"16-2019"	"Miami Heat"		27.7	124606302	"$350,088 "	125032626	"($1,299,626)"	-23163626	-23163626	11	106.9	107.2	38	14.9	"2019"	"16"
"17-2015"	"Milwaukee Bucks"		23.7	44560189	"$10,242,884 "	55114481	"$21,714,519 "	7950519	7950519	1	101.9	101.3	41	17.4	"2015"	"17"
"17-2016"	"Milwaukee Bucks"		23.9	68656240	"$1,865,546 "	70579512	"$14,160,488 "	-579512	-579512	2	103.3	107.8	33	15.9	"2016"	"17"
"17-2017"	"Milwaukee Bucks"		25.2	89531619	"3093262"	92676330	"$20,604,447*"	1466670	1466670	3	108.5	108.7	42	14.6	"2017"	"17"
"17-2018"	"Milwaukee Bucks"		25.4	100039227	"$16,092,004 "	116214360	"$3,051,640 "	-17121360	-17121360	0	108.8	109.1	44	14.1	"2018"	"17"
"17-2019"	"Milwaukee Bucks"		27	114755757	"$7,327,105 "	122168320	"$1,564,680*"	-20299320	-20299320	1	113.7	104.8	59	13.3	"2019"	"17"
"18-2015"	"Minnesota Timberwolves"		25.1	64182806	"$3,459,307 "	67919790	"$8,909,210 "	-4854790	-4854790	1	101.8	110.9	16	15.6	"2015"	"18"
"18-2016"	"Minnesota Timberwolves"		25.4	59841104	"$10,756,029 "	70652855	"$14,087,145*"	-652855	-652855	1	105.4	109	29	15.5	"2016"	"18"
"18-2017"	"Minnesota Timberwolves"		24.7	59494555	"9996058"	71566819	"$43,681,043 "	22576181	24537043	1	110	110.9	31	14.6	"2017"	"18"
"18-2018"	"Minnesota Timberwolves"		26.7	102581006	"$2,598,921 "	105179927	"$13,927,302 "	-6086927	-6086927	2	112.3	110.1	47	12.8	"2018"	"18"
"18-2019"	"Minnesota Timberwolves"		26.6	117419083	"$2,701,278 "	120338648	"$3,394,352*"	-18469648	-18469648	0	110.7	112	36	12.9	"2019"	"18"
"19-2015"	"New Orleans Pelicans"		25.4	68280315	"$1,821,872 "	70413595	"$6,415,405 "	-7348595	-7348595	5	107.1	106.3	45	14.3	"2015"	"19"
"19-2016"	"New Orleans Pelicans"		26.2	80164538	"$994,597 "	81425760	"$3,314,240*"	-11425760	-11425760	1	104.8	108.4	30	13.7	"2016"	"19"
"19-2017"	"New Orleans Pelicans"		25.8	94322677	"6708797"	101417816	"$11,866,073 "	-7274816	-7274816	2	104.6	106.7	34	12.9	"2017"	"19"
"19-2018"	"New Orleans Pelicans"		26.9	115907328	"$2,399,540 "	118813359	"$452,641*"	-19720359	-19720359	3	108.4	107.2	48	14.5	"2018"	"19"
"19-2019"	"New Orleans Pelicans"		24.8	98806475	"$15,721,784 "	114528259	"$9,204,741*"	-12659259	-12659259	4	110.6	111.9	32	14.2	"2019"	"19"
"20-2015"	"New York Knicks"		25.5	54410045	"$25,848,489 "	80629628	"($3,800,628)"	-17564628	-17564628	1	98.9	109	17	15.8	"2015"	"20"
"20-2016"	"New York Knicks"		26.4	72920772	"$442,406 "	73449788	"$11,290,212*"	-3449788	-3449788	0	103.9	106.6	32	14.2	"2016"	"20"
"20-2017"	"New York Knicks"		26.1	79595502	"6017931"	102613433	"$9,799,647 "	-8470433	-8470433	1	107.1	110.7	31	14.3	"2017"	"20"
"20-2018"	"New York Knicks"		25.7	98086116	"$6,170,722 "	104405156	"$14,860,844 "	-5312156	-5312156	2	106.2	109.6	29	15	"2018"	"20"
"20-2019"	"New York Knicks"		23.1	62374396	"$60,319,426 "	122779280	"$953,720*"	-20910280	-20910280	1	104	113	15	14	"2019"	"20"
"21-2015"	"Oklahoma City Thunder"		25	77876390	"$915,243 "	78791633	"($1,962,633)"	-15726633	-15726633	7	106.7	104.6	45	15.1	"2015"	"21"
"21-2016"	"Oklahoma City Thunder"		26.5	93765298	"-"	93765298	"($9,025,298)"	-23765298	-23765298	1	112.1	104.8	55	16.2	"2016"	"21"
"21-2017"	"Oklahoma City Thunder"		25.3	86981364	"4358585"	104748520	"$21,510,091 "	-10605520	2803051	2	107.9	107	47	15.2	"2017"	"21"
"21-2018"	"Oklahoma City Thunder"		27.1	130477891	"$2,442,455 "	132920346	"($13,654,346)"	-33827346	-33827346	3	109.9	106.3	48	14.3	"2018"	"21"
"21-2019"	"Oklahoma City Thunder"		26	138162052	"$4,574,383 "	142869264	"($19,136,264)"	-41000264	-41000264	4	109.4	106.1	46	13.4	"2019"	"21"
"22-2015"	"Orlando Magic"		24.7	41311716	"$14,705,259 "	58830518	"$20,812,025 "	4234482	7048025	0	101	106.8	25	15.7	"2015"	"22"
"22-2016"	"Orlando Magic"		24.4	61108745	"$3,292,335 "	64462856	"$20,277,144 "	5537144	5537144	1	104.4	106	35	14.4	"2016"	"22"
"22-2017"	"Orlando Magic"		25	102595191	"1647910"	104294550	"$9,078,555 "	-10151550	-10151550	1	103.7	110.3	29	13.7	"2017"	"22"
"22-2018"	"Orlando Magic"		25.3	94946559	"$333,334 "	95538311	"$23,727,689 "	3554689	3554689	2	104.7	109.3	25	14.7	"2018"	"22"
